000000	00:00:00
000068	RosemountCon
000069	ConcordCommu
00006A	ComputerCons
00006B	SiliconGraph
00006C	SchneiderEle
00006D	CrayCommunic
00006E	Artisoft
00006F	Madge
000070	Hcl
000071	Adra
000072	MiniwareTech
000073	Siecor
000074	Ricoh
000075	NortelNetwor
000076	AbekasVideoS
000077	Interphase
000078	Labtam
000079	Networth
00007A	DanaComputer
00007B	ResearchMach
00007C	Ampere
00007D	Oracle
00007E	Clustrix
00007F	LinotypeHell
000080	CrayCommunic
000081	BayNetworks
000082	LectraSystem
000083	TadpoleTechn
000084	Supernet
000085	Canon
000086	Megahertz
000087	Hitachi
000088	BrocadeCommu
000089	Cayman
00008A	DatahouseInf
00008B	Infotron
00008C	AlloyCompute
00008D	Cryptek
00008E	SolbourneCom
00008F	Raytheon
000090	Microcom
000091	Anritsu
000092	CogentDataTe
000093	Proteon
000094	AsanteTechno
000095	SonyTektroni
000096	MarconiElect
000097	DellEMC
000098	Crosscomm
000099	Mtx
00009A	RcComputer
00009B	InformationI
00009C	RolmMilSpecC
00009D	LocusComputi
00009E	Marli
00009F	AmeristarTec
0000A0	SANYOElectri
0000A1	MarquetteEle
0000A2	BayNetworks
0000A3	NetworkAppli
0000A4	AcornCompute
0000A5	Tattile
0000A6	NetworkGener
0000A7	NetworkCompu
0000A8	StratusTechn
0000A9	Network
0000AA	Xerox
0000AB	LogicModelin
0000AC	ConwareCompu
0000AD	BrukerInstru
0000AE	DassaultElec
0000AF	CanberraIndu
0000B0	RndRadNetwor
0000B1	AlphaMicro
0000B2	Televideo
0000B3	Cimlinc
0000B4	EdimaxTechno
0000B5	DatabilitySo
0000B6	MicroMaticRe
0000B7	DoveComputer
0000B8	Seikosha
0000B9	McdonnellDou
0000BA	Siig
0000BB	TriData
0000BC	RockwellAuto
0000BD	RYOSEI
0000BE	NtiGroup
0000BF	SymmetricCom
0000C0	WesternDigit
0000C1	Madge
0000C2	InformationP
0000C3	Harris
0000C4	WatersDivMil
0000C5	Commscope
0000C6	Eon
0000C7	Arix
0000C8	AltosCompute
0000C9	Emulex
0000CA	Commscope
0000CB	CompuShackEl
0000CC	Densan
0000CD	AlliedTelesi
0000CE	Megadata
0000CF	HayesMicroco
0000D0	DevelconElec
0000D1	Adaptec
0000D2	Sbe
0000D3	WangLaborato
0000D4	PureData
0000D5	MicrognosisI
0000D6	PunchLine
0000D7	DartmouthCol
0000D8	Novell
0000D9	NipponTelegr
0000DA	Atex
0000DB	BritishTelec
0000DC	HayesMicroco
0000DD	Tcl
0000DE	Cetia
0000DF	BellHowellPu
0000E0	Quadram
0000E1	Grid
0000E2	AcerTechnolo
0000E3	IntegratedMi
0000E4	In2GroupeInt
0000E5	Sigmex
0000E6	AptorProduit
0000E7	StarGateTech
0000E8	AcctonTechno
0000E9	Isicad
0000EA	Upnod
0000EB	MatsushitaCo
0000EC	Microprocess
0000ED	April
0000EE	NetworkDesig
0000EF	Kti
0000F0	SamsungElect
0000F1	MagnaCompute
0000F2	SpiderCommun
0000F3	GandalfData
0000F4	AlliedTelesi
0000F5	DiamondSales
0000F6	AppliedMicro
0000F7	YouthKeepEnt
0000F8	DigitalEquip
0000F9	Quotron
0000FA	MicrosageCom
0000FB	RechnerZurKo
0000FC	Meiko
0000FD	HighLevelHar
0000FE	AnnapolisMic
0000FF	CamtecElectr
000100	EquipTrans
000101	Private
000102	3Com
000103	3Com
000104	DVICO
000105	BeckhoffAuto
000106	TewsDatentec
000107	Leiser
000108	AVLABTechnol
000109	NaganoJapanR
00010A	CisTechnolog
00010B	SpaceCyberLi
00010C	SystemTalks
00010D	TeledyneDALS
00010E	BriLinkTechn
00010F	BrocadeCommu
000110	GothamNetwor
000111	iDigm
000112	SharkMultime
000113	Olympus
000114	KandaTsushin
000115	Extratech
000116	NetspectTech
000117	Canal
000118	EZDigital
000119	RTUnet
00011A	HoffmannundB
00011B	UnizoneTechn
00011C	UniversalTal
00011D	CentilliumCo
00011E	PrecidiaTech
00011F	RCNetworks
000120	Oscilloquart
000121	WatchGuardTe
000122	TrendCommuni
000123	SchneiderEle
000124	Acer
000125	YaesuMusen
000126	PACLabs
000127	OPENNetworks
000128	EnjoyWeb
000129	DFI
00012A	TelematicaSi
00012B	TELENET
00012C	AravoxTechno
00012D	KomodoTechno
00012E	PCPartner
00012F	TwinheadInte
000130	ExtremeNetwo
000131	BoschSecurit
000132	DranetzBMI
000133	KYOWAElectro
000134	Selectron
000135	KDC
000136	CyberTANTech
000137	ITFarm
000138	XAViTechnolo
000139	PointMultime
00013A	ShelcadCommu
00013B	Bna
00013C	Tiw
00013D	RiscStation
00013E	AscomTateco
00013F	NeighborWorl
000140	Sendtek
000141	CablePrint
000142	Cisco
000143	Cisco
000144	DellEMC
000145	Winsystems
000146	TescoControl
000147	ZhoneTechnol
000148	XtraWeb
000149	Tdt
00014A	Sony
00014B	EnnovateNetw
00014C	BerkeleyProc
00014D	ShinKinEnter
00014E	WINEnterpris
00014F	Adtran
000150	GilatCommuni
000151	EnsembleComm
000152	Chromatek
000153	ArchtekTelec
000154	G3M
000155	PromiseTechn
000156	Firewiredire
000157	Syswave
000158	ElectroIndus
000159	S1
00015A	DigitalVideo
00015B	ITALTELRFUPI
00015C	Cadant
00015D	Oracle
00015E	BestTechnolo
00015F	DIGITALDESIG
000160	ELMEX
000161	MetaMachineT
000162	CygnetTechno
000163	Cisco
000164	Cisco
000165	AirSwitch
000166	TcGroup
000167	HiokiEE
000168	Vitana
000169	CelestixNetw
00016A	Alitec
00016B	LightChip
00016C	Foxconn
00016D	CarrierComm
00016E	Conklin
00016F	Inkel
000170	ESEEmbeddedS
000171	AlliedDataTe
000172	TechnoLand
000173	Amcc
000174	CyberOptics
000175	RadiantCommu
000176	OrientSilver
000177	Edsl
000178	MARGI
000179	WirelessTech
00017A	MaipuElectri
00017B	Heidelberger
00017C	AGE
00017D	ThermoQuest
00017E	ADTEKSystemS
00017F	ExperienceMu
000180	AOpen
000181	NortelNetwor
000182	DicaTechnolo
000183	AniteTelecom
000184	SiebMeyer
000185	HitachiAloka
000186	UweDisch
000187	I2SE
000188	LXCOTechnolo
000189	RefractionTe
00018A	RoiComputer
00018B	NetLinks
00018C	MegaVision
00018D	AudeSiTechno
00018E	Logitec
00018F	Kenetec
000190	SmkM
000191	SYREDData
000192	TexasDigital
000193	HanbyulTelec
000194	CapitalEquip
000195	SenaTechnolo
000196	Cisco
000197	Cisco
000198	DarimVision
000199	HeiSeiElectr
00019A	LEUNIG
00019B	KyotoMicroco
00019C	Lumentum
00019D	EControl
00019E	ESSTechnolog
00019F	ReadyNet
0001A0	Infinilink
0001A1	MagTek
0001A2	Logical
0001A3	GenesysLogic
0001A4	Microlink
0001A5	Nextcomm
0001A6	ScientificAt
0001A7	UnexTechnolo
0001A8	WelltechComp
0001A9	Bmw
0001AA	AirspanCommu
0001AB	MainStreetNe
0001AC	SitaraNetwor
0001AD	CoachMasterI
0001AE	TrexEnterpri
0001AF	ArtesynEmbed
0001B0	FulltekTechn
0001B1	GeneralBandw
0001B2	DigitalProce
0001B3	PrecisionEle
0001B4	Wayport
0001B5	TurinNetwork
0001B6	SAEJINT&M
0001B7	Centos
0001B8	Netsensity
0001B9	SKF
0001BA	ICNet
0001BB	Frequentis
0001BC	Brains
0001BD	PetersonElec
0001BE	Gigalink
0001BF	Teleforce
0001C0	CompuLab
0001C1	VitesseSemic
0001C2	ARKResearch
0001C3	Acromag
0001C4	NeoWave
0001C5	SimplerNetwo
0001C6	QuarryTechno
0001C7	Cisco
0001C8	ThomasConrad
0001C9	Cisco
0001CA	GeocastNetwo
0001CB	Evr
0001CC	BrandMakerEn
0001CD	ARtem
0001CE	CustomMicroP
0001CF	AlphaDataPar
0001D0	VitalPoint
0001D1	CoNetCommuni
0001D2	inXtron
0001D3	PAXCOMM
0001D4	LeisureTime
0001D5	HaedongInfoC
0001D6	manroland
0001D7	F5
0001D8	Teltronics
0001D9	Sigma
0001DA	WINCOMM
0001DB	FreecomTechn
0001DC	Activetelco
0001DD	AvailNetwork
0001DE	Trango
0001DF	ISDNCommunic
0001E0	Fast
0001E1	KinpoElectro
0001E2	AndoElectric
0001E3	Siemens
0001E4	Sitera
0001E5	Supernet
0001E6	HewlettPacka
0001E7	HewlettPacka
0001E8	Force10Netwo
0001E9	LittonMarine
0001EA	Cirilium
0001EB	CCOM
0001EC	EricssonGrou
0001ED	SETA
0001EE	ComtrolEurop
0001EF	CamtelTechno
0001F0	Tridium
0001F1	InnovativeCo
0001F2	MarkUnicorn
0001F3	QPS
0001F4	Enterasys
0001F5	Erim
0001F6	AssociationM
0001F7	ImageDisplay
0001F8	TexioTechnol
0001F9	TeraGlobalCo
0001FA	Horoscas
0001FB	DoTopTechnol
0001FC	Keyence
0001FD	DigitalVoice
0001FE	DigitalEquip
0001FF	DataDirectNe
000200	NetSys
000201	IFMElectroni
000202	AminoCommuni
000203	WoonsangTele
000204	BodmannIndus
000205	HitachiDensh
000206	TelitalR&DDe
000207	VisionGlobal
000208	UnifyNetwork
000209	SEDInformati
00020A	Gefran
00020B	NativeNetwor
00020C	MetroOptix
00020D	Micronpccom
00020E	ECITelecom
00020F	Aatr
000210	Fenecom
000211	NatureWorldw
000212	SierraCom
000213	SDEL
000214	Dtvro
000215	CotasCompute
000216	Cisco
000217	Cisco
000218	AdvancedScie
000219	ParalonTechn
00021A	ZumaNetworks
00021B	KollmorgenSe
00021C	NetworkEleme
00021D	DataGeneralC
00021E	Simtel
00021F	Aculab
000220	CanonFinetec
000221	DSPApplicati
000222	Chromisys
000223	ClickTV
000224	CCor
000225	OneStop
000226	XESystems
000227	ESDElectroni
000228	Necsom
000229	Adtec
00022A	AsoundElectr
00022B	SAXA
00022C	ABBBomem
00022D	Agere
00022E	TEACR&D
00022F	PCube
000230	IntersoftEle
000231	IngersollRan
000232	Avision
000233	MantraCommun
000234	ImperialTech
000235	ParagonNetwo
000236	INIT
000237	CosmoResearc
000238	SeromeTechno
000239	Visicom
00023A	ZSKStickmasc
00023B	Ericsson
00023C	CreativeTech
00023D	Cisco
00023E	SeltaTelemat
00023F	CompalElectr
000240	Seedek
000241	Amercom
000242	Videoframe
000243	Raysis
000244	SURECOMTechn
000245	Lampus
000246	AllWinTech
000247	GreatDragonI
000248	Pilz
000249	AvivInfocom
00024A	Cisco
00024B	Cisco
00024C	SiByte
00024D	MannesmanDem
00024E	DatacardGrou
00024F	IPMDatacom
000250	GeyserNetwor
000251	SomaNetworks
000252	Carrier
000253	Televideo
000254	WorldGate
000255	IBM
000256	AlphaProcess
000257	Microcom
000258	FlyingPacket
000259	TsannKuenChi
00025A	CatenaNetwor
00025B	CambridgeSil
00025C	SCI
00025D	CalixNetwork
00025E	HighTechnolo
00025F	NortelNetwor
000260	AccordionNet
000261	Tilgin
000262	SoyoGroupSoy
000263	RPS
000264	AudioRampcom
000265	Virditech
000266	Thermalogic
000267	NodeRunner
000268	HarrisGovern
000269	Nadatel
00026A	CocessTeleco
00026B	BCMComputers
00026C	PhilipsCFT
00026D	AdeptTelecom
00026E	NeGeNAccess
00026F	SenaoInterna
000270	Crewave
000271	ZhoneTechnol
000272	CC&CTechnolo
000273	CoriolisNetw
000274	TommyTechnol
000275	SMARTTechnol
000276	PrimaxElectr
000277	CashSystemes
000278	SamsungElect
000279	ControlAppli
00027A	IOITechnolog
00027B	AmplifyNet
00027C	Trilithic
00027D	Cisco
00027E	Cisco
00027F	asktechnolog
000280	MuNet
000281	Madge
000282	ViaClix
000283	SpectrumCont
000284	UKGridSoluti
000285	RiverstoneNe
000286	OccamNetwork
000287	Adapcom
000288	GlobalVillag
000289	DNETechnolog
00028A	AmbitMicrosy
00028B	VDSL
00028C	MicrelSynerg
00028D	MovitaTechno
00028E	Rapid5Networ
00028F	Globetek
000290	Woorigisool
000291	OpenNetwork
000292	LogicInnovat
000293	SolidData
000294	TokyoSokushi
000295	MavenirIpaUk
000296	Lectron
000297	CCORnet
000298	Broadframe
000299	Apex
00029A	StorageApps
00029B	KreatelCommu
00029C	3Com
00029D	Merix
00029E	InformationE
00029F	L3Communicat
0002A0	Flatstack
0002A1	WorldWidePac
0002A2	Hilscher
0002A3	HitachiEnerg
0002A4	AddPacTechno
0002A5	HewlettPacka
0002A6	Effinet
0002A7	VivaceNetwor
0002A8	AirLinkTechn
0002A9	RACOMsro
0002AA	PLcom
0002AB	CTCUnionTech
0002AC	3PARdata
0002AD	HOYA
0002AE	ScannexElect
0002AF	TeleCruzTech
0002B0	HokubuCommun
0002B1	Anritsu
0002B2	Cablevision
0002B3	Intel
0002B4	Daphne
0002B5	Avnet
0002B6	AcrosserTech
0002B7	WatanabeElec
0002B8	WhiKonsult
0002B9	Cisco
0002BA	Cisco
0002BB	ContinuousCo
0002BC	LVL7
0002BD	Bionet
0002BE	TotsuEnginee
0002BF	dotRocket
0002C0	BencentTzeng
0002C1	InnovativeEl
0002C2	NetVisionTel
0002C3	Arelnet
0002C4	OPTMachineVi
0002C5	EvertzMicros
0002C6	DataTrackTec
0002C7	Alpsalpine
0002C8	TechnocomCom
0002C9	MellanoxTech
0002CA	EndPoints
0002CB	TriState
0002CC	MCCI
0002CD	TeleDream
0002CE	FoxJet
0002CF	ZyGateCommun
0002D0	Comdial
0002D1	Vivotek
0002D2	Workstation
0002D3	NetBotz
0002D4	PDAPeriphera
0002D5	Acr
0002D6	NICE
0002D7	EMPEG
0002D8	BRECISCommun
0002D9	ReliableCont
0002DA	ExiOCommunic
0002DB	Netsec
0002DC	GENERAL
0002DD	BromaxCommun
0002DE	Astrodesign
0002DF	NetCom
0002E0	ETAS
0002E1	IntegratedNe
0002E2	NDCInfaredEn
0002E3	LITEONCommun
0002E4	JCHYUN
0002E5	Timeware
0002E6	GouldInstrum
0002E7	CAB
0002E8	ED&A
0002E9	CSSystemesDe
0002EA	FocusEnhance
0002EB	PicoCommunic
0002EC	MaschoffDesi
0002ED	DXOTelecom
0002EE	NokiaDanmark
0002EF	CCCNetworkGr
0002F0	AMEOptimedia
0002F1	Pinetron
0002F2	eDevice
0002F3	MediaServe
0002F4	PCTEL
0002F5	VIVESynergie
0002F6	EquipeCommun
0002F7	Arm
0002F8	SEAKREnginee
0002F9	MIMOSBerhad
0002FA	DXAntenna
0002FB	BaumullerAul
0002FC	Cisco
0002FD	Cisco
0002FE	Viditec
0002FF	HandanBroadI
000300	BarracudaNet
000301	Exfo
000302	CharlesIndus
000303	JAMAElectron
000304	PacificBroad
000305	MSCVertriebs
000306	FusionInTech
000307	SecureWorks
000308	AMCommunicat
000309	TexcelTechno
00030A	ArgusTechnol
00030B	HunterTechno
00030C	TelesoftTech
00030D	UniwillCompu
00030E	CoreCommunic
00030F	DigitalChina
000310	EGlobaledge
000311	MicroTechnol
000312	TRsystems
000313	AccessMedia
000314	TelewareNetw
000315	Cidco
000316	NobellCommun
000317	Merlin
000318	Cyras
000319	Infineon
00031A	BroadTelecom
00031B	Cellvision
00031C	SvenskaHardv
00031D	TaiwanCommat
00031E	Optranet
00031F	Condev
000320	Xpeed
000321	RecoResearch
000322	IDIS
000323	CornetTechno
000324	LIMNO
000325	ArimaCompute
000326	IwasakiInfor
000327	HMSIndustria
000328	MaceGroup
000329	F3
00032A	UniDataCommu
00032B	GAIDatenfunk
00032C	ABBSwitzerla
00032D	IBASETechnol
00032E	ScopeInforma
00032F	GlobalSunTec
000330	Imagenics
000331	Cisco
000332	Cisco
000333	Digitel
000334	OmegaEnginee
000335	MiraeTechnol
000336	ZetesTechnol
000337	Vaone
000338	OakTechnolog
000339	Eurologic
00033A	SiliconWave
00033B	TAMITech
00033C	Daiden
00033D	ILSHinLab
00033E	TateyamaSyst
00033F	BigBandNetwo
000340	FlowareWirel
000341	EVSBroadcast
000342	NortelNetwor
000343	MartinProfes
000344	Tietech
000345	RoutrekNetwo
000346	KOKUSAIDENKI
000347	Intel
000348	NorscanInstr
000349	VidicodeData
00034A	RIAS
00034B	NortelNetwor
00034C	DigiVisionTe
00034D	ChiaroNetwor
00034E	PosData
00034F	SurGardSecur
000350	Bticino
000351	DieboldNixdo
000352	ColubrisNetw
000353	Mitac
000354	FiberLogicCo
000355	TeraBeamInte
000356	DieboldNixdo
000357	IntervoiceBr
000358	HanyangDigit
000359	DigitalSis
00035A	Photron
00035B	BridgeWaveCo
00035C	SaintSong
00035D	BosungHiNet
00035E	Metropolitan
00035F	PrüftechnikC
000360	PACInteracti
000361	Widcomm
000362	VodtelCommun
000363	Miraesys
000364	ScenixSemico
000365	KiraInformat
000366	ASMPacificTe
000367	JasmineNetwo
000368	Embedone
000369	NipponAntenn
00036A	Mainnet
00036B	Cisco
00036C	Cisco
00036D	Runtop
00036E	Nicon
00036F	Telsey
000370	NXTV
000371	AcomzNetwork
000372	Ulan
000373	Aselsan
000374	SchneiderEle
000375	NetMedia
000376	GraphtecTech
000377	GigabitWirel
000378	HUMAX
000379	ProscendComm
00037A	TaiyoYuden
00037B	IDECIZUMI
00037C	CoaxMedia
00037D	Stellcom
00037E	PORTechCommu
00037F	AtherosCommu
000380	SSHCommunica
000381	IngenicoInte
000382	AOne
000383	MeteraNetwor
000384	Aeta
000385	ActelisNetwo
000386	HoNet
000387	BlazeNetwork
000388	FastfameTech
000389	Plantronics
00038A	AmericaOnlin
00038B	PLUSONEI&T
00038C	TotalImpact
00038D	PCSRevenueCo
00038E	Atoga
00038F	Weinschel
000390	DigitalVideo
000391	AdvancedDigi
000392	HyundaiTelet
000393	Apple
000394	ConnectOne
000395	CaliforniaAm
000396	EZCast
000397	FireBrick
000398	Wisi
000399	DongjuInform
00039A	SiConnect
00039B	NetChipTechn
00039C	OptiMightCom
00039D	Qisda
00039E	TeraSystem
00039F	Cisco
0003A0	Cisco
0003A1	HIPERInforma
0003A2	CatapultComm
0003A3	MAVIX
0003A4	Imation
0003A5	Medea
0003A6	TraxitTechno
0003A7	UnixtarTechn
0003A8	IDOTComputer
0003A9	AXCENTMedia
0003AA	Watlow
0003AB	BridgeInform
0003AC	FroniusSchwe
0003AD	EmersonEnerg
0003AE	AlliedAdvanc
0003AF	ParageaCommu
0003B0	XsenseTechno
0003B1	ICUMedical
0003B2	Radware
0003B3	IALink
0003B4	MacrotekInte
0003B5	EntraTechnol
0003B6	QSI
0003B7	ZACCESS
0003B8	NetKitSoluti
0003B9	HualongTelec
0003BA	Oracle
0003BB	SignalCommun
0003BC	COT
0003BD	OmniClusterT
0003BE	Netility
0003BF	CenterpointB
0003C0	RFTNC
0003C1	PacketDynami
0003C2	Solphone
0003C3	MicronikMult
0003C4	TomraASA
0003C5	Mobotix
0003C6	ICUE
0003C7	hopfElektron
0003C8	CMLEmergency
0003C9	TECOM
0003CA	Temposonics
0003CB	SystemGear
0003CC	MomentumComp
0003CD	Clovertech
0003CE	ETENTechnolo
0003CF	Muxcom
0003D0	KOANKEISO
0003D1	Takaya
0003D2	Crossbeam
0003D3	InternetEner
0003D4	Alloptic
0003D5	AdvancedComm
0003D6	RADVision
0003D7	NextNetWirel
0003D8	iMPathNetwor
0003D9	Secheron
0003DA	TakamisawaCy
0003DB	ApogeeElectr
0003DC	LexarMedia
0003DD	ComarkIntera
0003DE	OTCWireless
0003DF	Desana
0003E0	Commscope
0003E1	WinmateCommu
0003E2	Comspace
0003E3	Cisco
0003E4	Cisco
0003E5	HermstedtSG
0003E6	Entone
0003E7	Logostek
0003E8	Wavesight
0003E9	AkaraCanada
0003EA	MegaSystemTe
0003EB	Atrica
0003EC	ICGResearch
0003ED	ShinkawaElec
0003EE	MKNet
0003EF	Oneline
0003F0	RedfernBroad
0003F1	CicadaSemico
0003F2	SenecaNetwor
0003F3	DazzleMultim
0003F4	NetBurner
0003F5	Chip2Chip
0003F6	AllegroNetwo
0003F7	PlastControl
0003F8	SanCastleTec
0003F9	PleiadesComm
0003FA	TiMetraNetwo
0003FB	ENEGATE
0003FC	IntertexData
0003FD	Cisco
0003FE	Cisco
0003FF	Microsoft
000400	LexmarkInter
000401	OsakiElectri
000402	NexsanTechno
000403	Nexsi
000404	MakinoMillin
000405	ACNTechnolog
000406	FaMetabox
000407	TopconPositi
000408	SankoElectro
000409	CratosNetwor
00040A	Sage
00040B	3ComEurope
00040C	KannoWorks
00040D	Avaya
00040E	AVM
00040F	AsusNetworkT
000410	SpinnakerNet
000411	InkraNetwork
000412	WaveSmithNet
000413	snomtechnolo
000414	UmezawaMusen
000415	Rasteme
000416	ParksComunic
000417	SchneiderEle
000418	TeltronicU
000419	FibercycleNe
00041A	InesTestandM
00041B	Bridgeworks
00041C	ipDialog
00041D	CoregaAmeric
00041E	ShikokuInstr
00041F	SonyInteract
000420	SlimDevices
000421	OcularNetwor
000422	StudioTechno
000423	Intel
000424	TMC
000425	Atmel
000426	Autosys
000427	Cisco
000428	Cisco
000429	Pixord
00042A	WirelessNetw
00042B	ITAccess
00042C	Minet
00042D	Sarian
00042E	NetousTechno
00042F	Internationa
000430	Netgem
000431	GlobalStream
000432	VoyetraTurtl
000433	Cyberboard
000434	Accelent
000435	InfiNet
000436	ELANsatTechn
000437	PowinInforma
000438	NortelNetwor
000439	RoscoEnterta
00043A	IntelligentT
00043B	LavaComputer
00043C	SONOS
00043D	Indel
00043E	Telencomm
00043F	ESTeemWirele
000440	cyberPIXIE
000441	HalfDome
000442	Nact
000443	AgilentTechn
000444	WesternMulti
000445	LMSSkalarIns
000446	CYZENTECH
000447	Acrowave
000448	Polaroid
000449	MapletreeNet
00044A	iPolicyNetwo
00044B	Nvidia
00044C	Jenoptik
00044D	Cisco
00044E	Cisco
00044F	SchubertSyst
000450	DMDComputers
000451	Medrad
000452	RocketLogix
000453	YottaYotta
000454	QuadrigaUK
000455	ANTARAnet
000456	CambiumNetwo
000457	UniversalAcc
000458	FusionX
000459	Veristar
00045A	LinksysGroup
00045B	TechsanElect
00045C	MobiwavePte
00045D	BEKAElektron
00045E	PolyTraxInfo
00045F	AvalueTechno
000460	KnilinkTechn
000461	EPOXComputer
000462	DAKOSDataCom
000463	BoschSecurit
000464	PulseLink
000465	istisdnsuppo
000466	ARMITEL
000467	ResearchInst
000468	Vivity
000469	Innocom
00046A	NaviniNetwor
00046B	PalmWireless
00046C	CyberTechnol
00046D	Cisco
00046E	Cisco
00046F	DigitelIndus
000470	ipUnplugged
000471	IPrad
000472	Telelynx
000473	Photonex
000474	Legrand
000475	3Com
000476	3Com
000477	Scalant
000478	GStarTechnol
000479	Radius
00047A	AxxessitAsa
00047B	Schlumberger
00047C	Skidata
00047D	MotorolaSolu
00047E	TKHSecurity
00047F	ChrMayr
000480	BrocadeCommu
000481	EconoliteCon
000482	Medialogic
000483	DeltronTechn
000484	Amann
000485	PicoLight
000486	ITTCUniversi
000487	CogencySemic
000488	EurothermCon
000489	YAFONetworks
00048A	TemiaVertrie
00048B	Poscon
00048C	NaynaNetwork
00048D	TeoTechnolog
00048E	OhmTechLabs
00048F	TD
000490	OpticalAcces
000491	Technovision
000492	HiveInternet
000493	TsinghuaUnis
000494	Breezecom
000495	TejasNetwork
000496	ExtremeNetwo
000497	MacroSystemD
000498	MahiNetworks
000499	Chino
00049A	Cisco
00049B	Cisco
00049C	SurgientNetw
00049D	IpanemaTechn
00049E	Wirelink
00049F	FreescaleSem
0004A0	VerityInstru
0004A1	PathwayConne
0004A2	LSIJapan
0004A3	MicrochipTec
0004A4	NetEnabled
0004A5	Barco
0004A6	SAFTehnika
0004A7	FabiaTech
0004A8	BroadmaxTech
0004A9	SandStreamTe
0004AA	JetstreamCom
0004AB	Mavenir
0004AC	IBM
0004AD	MalibuNetwor
0004AE	Sullair
0004AF	DigitalFount
0004B0	ELESIGN
0004B1	SignalTechno
0004B2	Essegi
0004B3	Videotek
0004B4	Ciac
0004B5	Equitrac
0004B6	StratexNetwo
0004B7	AMBit
0004B8	Kumahira
0004B9	SISoubou
0004BA	KDDMediaWill
0004BB	Bardac
0004BC	Giantec
0004BD	Commscope
0004BE	OptXCon
0004BF	VersaLogic
0004C0	Cisco
0004C1	Cisco
0004C2	Magnipix
0004C3	CASTORInform
0004C4	AudiotonixGr
0004C5	ASETechnolog
0004C6	YamahaMotor
0004C7	NetMount
0004C8	LIBAMaschine
0004C9	MicroElectro
0004CA	FreeMs
0004CB	TdsoftCommun
0004CC	PeekTraffic
0004CD	ExtenwaySolu
0004CE	PatriaAilon
0004CF	SeagateTechn
0004D0	Softlinksro
0004D1	DrewTechnolo
0004D2	AdconTelemet
0004D3	Toyokeiki
0004D4	ProviewElect
0004D5	HitachiInfor
0004D6	TakagiIndust
0004D7	OmitecInstru
0004D8	IPWireless
0004D9	TitanElectro
0004DA	RelaxTechnol
0004DB	TellusGroup
0004DC	NortelNetwor
0004DD	Cisco
0004DE	Cisco
0004DF	TeracomTelem
0004E0	ProcketNetwo
0004E1	InfiniorMicr
0004E2	SMCNetworks
0004E3	AcctonTechno
0004E4	DaeryungInd
0004E5	Glonet
0004E6	BanyanNetwor
0004E7	LightpointeC
0004E8	IER
0004E9	Infiniswitch
0004EA	HewlettPacka
0004EB	PaxonetCommu
0004EC	Memobox
0004ED	BillionElect
0004EE	LincolnElect
0004EF	Polestar
0004F0	Internationa
0004F1	WhereNet
0004F2	Polycom
0004F3	FSFORTHSYSTE
0004F4	InfiniteElec
0004F5	SnowShoreNet
0004F6	Amphus
0004F7	OmegaBand
0004F8	QUALICABLETV
0004F9	XteraCommuni
0004FA	NBSTechnolog
0004FB	Commtech
0004FC	StratusTechn
0004FD	JapanControl
0004FE	PelagoNetwor
0004FF	Acronet
000500	Cisco
000501	Cisco
000502	Apple
000503	Iconag
000504	NarayInforma
000505	SystemsInteg
000506	ReddoNetwork
000507	FineApplianc
000508	Inetcam
000509	AVOCNishimur
00050A	ICS
00050B	SICOM
